book_name,chapter,verse_start,verse_end,version,text
Romans,3,30,,esv,[30] since God is one—who will justify the circumcised by faith and the uncircumcised through faith. (ESV)
Romans,3,30,,nlt,"There is only one God, and he makes people right with himself only by faith, whether they are Jews or Gentiles. Greek whether they are circumcised or uncircumcised. (NLT)"
Romans,3,30,,niv,"[30] since there is only one God, who will justify the circumcised by faith and the uncircumcised through that same faith. (NIV)"
Romans,3,30,,nasb,[30] since indeed God who will justify the circumcised by faith and the uncircumcised through faith is one. (NASB)
Romans,3,30,,csb,[30] since there is one God  who will justify the circumcised by faith  and the uncircumcised through faith. (CSB)
Romans,3,30,,en-asv,"if so be that God is one, and he shall justify the circumcision by faith, and the uncircumcision through faith."
Romans,3,30,,en-t4t,"because, as you firmly believe, there is only one God, who will erase the record of Jews’ [MTY] sins if they trust in what Christ has done, and who will similarly erase the record of non-Jews’ [MTY] sins if they trust in Christ."
Romans,3,30,,en-bsb,"since there is only one God, who will justify the circumcised by faith and the uncircumcised through that same faith."
Romans,3,30,,en-web,since indeed there is one God who will justify the circumcised by faith and the uncircumcised through faith.
Genesis,3,1,,esv,"[1] Now the serpent was more crafty than any other beast of the field that the LORD God had made. He said to the woman, “Did God actually say, ‘You shall not eat of any tree in the garden’?” (ESV)"
Genesis,3,1,,nlt,"Genesis   3 The Man and Woman Sin The serpent was the shrewdest of all the wild animals the Lord God had made. One day he asked the woman, “Did God really say you must not eat the fruit from any of the trees in the garden?” (NLT)"
Genesis,3,1,,niv,"[1] Now the serpent was more crafty than any of the wild animals the Lord God had made. He said to the woman, “Did God really say, ‘You must not eat from any tree in the garden’?” (NIV)"
Genesis,3,1,,nasb,"[1] Now the serpent was more crafty than any beast of the field which the Lord God had made. And he said to the woman, “Indeed, has God said, ‘You shall not eat from any tree of the garden’?” (NASB)"
Genesis,3,1,,csb,"[1] Now the serpent was the most cunning of all the wild animals that the Lord God had made. He said to the woman, “Did God really say, ‘You can’t eat from any tree in the garden’? ”  (CSB)"
Genesis,3,1,,en-asv,"Now the serpent was more subtle than any beast of the field which Jehovah God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of any tree of the garden?"
Genesis,3,1,,en-t4t,"The snake was more cunning than all the other wild animals that Yahweh God had made. One day Satan gave to the snake the ability to talk to the woman. The snake said to her, “Did God really say to you, ‘Do not eat the fruit from any of the trees in the park/garden’?”"
Genesis,3,1,,en-bsb,"Now the serpent 3:1 Hebrew nachash, translated in this chapter as serpent, is translated in most cases as snake. was more crafty than any beast of the field that the LORD God had made. And he said to the woman, “Did God really say, ‘You must not eat from any tree in the garden?’”"
Genesis,3,1,,en-web,"Now the serpent was more subtle than any animal of the field which Yahweh God had made. He said to the woman, “Has God really said, ‘You shall not eat of any tree of the garden’?”"
Genesis,1,1,,esv,"[1] In the beginning, God created the heavens and the earth. (ESV)"
Genesis,1,25,27,esv,"[25] And God made the beasts of the earth according to their kinds and the livestock according to their kinds, and everything that creeps on the ground according to its kind. And God saw that it was good. [26] Then God said, “Let us make man in our image, after our likeness. And let them have dominion over the fish of the sea and over the birds of the heavens and over the livestock and over all the earth and over every creeping thing that creeps on the earth.” [27] So God created man in his own image, in the image of God he created him; male and female he created them. (ESV)"
Genesis,1,28,30,esv,"[28] And God blessed them. And God said to them, “Be fruitful and multiply and fill the earth and subdue it, and have dominion over the fish of the sea and over the birds of the heavens and over every living thing that moves on the earth.” [29] And God said, “Behold, I have given you every plant yielding seed that is on the face of all the earth, and every tree with seed in its fruit. You shall have them for food. [30] And to every beast of the earth and to every bird of the heavens and to everything that creeps on the earth, everything that has the breath of life, I have given every green plant for food.” And it was so. (ESV)"
Genesis,2,16,17,esv,"[16] And the LORD God commanded the man, saying, “You may surely eat of every tree of the garden, [17] but of the tree of the knowledge of good and evil you shall not eat, for in the day that you eat of it you shall surely die.” (ESV)"
Genesis,3,2,3,esv,"[2] And the woman said to the serpent, “We may eat of the fruit of the trees in the garden, [3] but God said, ‘You shall not eat of the fruit of the tree that is in the midst of the garden, neither shall you touch it, lest you die.’” (ESV)"
Genesis,3,6,,esv,"[6] So when the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took of its fruit and ate, and she also gave some to her husband who was with her, and he ate. (ESV)"
Genesis,3,7,,esv,"[7] Then the eyes of both were opened, and they knew that they were naked. And they sewed fig leaves together and made themselves loincloths. (ESV)"
Genesis,19,4,8,esv,"[4] But before they lay down, the men of the city, the men of Sodom, both young and old, all the people to the last man, surrounded the house. [5] And they called to Lot, “Where are the men who came to you tonight? Bring them out to us, that we may know them.” [6] Lot went out to the men at the entrance, shut the door after him, [7] and said, “I beg you, my brothers, do not act so wickedly. [8] Behold, I have two daughters who have not known any man. Let me bring them out to you, and do to them as you please. Only do nothing to these men, for they have come under the shelter of my roof.” (ESV)"
Exodus,3,14,,esv,"[14] God said to Moses, “I AM WHO I AM.” And he said, “Say this to the people of Israel: ‘I AM has sent me to you.’” (ESV)"
Exodus,20,5,,esv,"[5] You shall not bow down to them or serve them, for I the LORD your God am a jealous God, visiting the iniquity of the fathers on the children to the third and fourth generation of those who hate me, (ESV)"
Exodus,29,36,37,esv,"[36] and every day you shall offer a bull as a sin offering for atonement. Also you shall purify the altar, when you make atonement for it, and shall anoint it to consecrate it. [37] Seven days you shall make atonement for the altar and consecrate it, and the altar shall be most holy. Whatever touches the altar shall become holy. (ESV)"
